nazwa;nazwa og??lna ;kolor;Cena brutto:;szerokosc profilu1;szerokosc profilu2;width;height
KSP_025_10x358x758;?õciana pionowa;PC mat;498;374;729;;
KSP_026_10x403x758;?õciana pionowa;PC mat;544;420;729;;
KSP_028_10x258x386;?õciana pionowa;PC mat;227;329;523;;
KSP_029_10x358x552;?õciana pionowa;PC mat;380;229;523;;
KSP_033_10x108x108;?õciana pionowa;PC mat;64;229;479;;
KSP_040_10x258x508;?õciana pionowa;PC mat;282;79;154;;
KSP_041_10x79x154;?õciana pionowa;PC mat;66;79;523;;
KSP_042_10x79x523;?õciana pionowa;PC mat;151;154;154;;
KSP_043_10x154x154;?õciana pionowa;PC mat;90;329;479;;
KSP_044_10x329x479;?õciana pionowa;PC mat;319;420;479;;
KSP_045_10x420x479;?õciana pionowa;PC mat;383;420;523;;
KSP_046_10x420x523;?õciana pionowa;PC mat;411;479;479;;
KSP_047_10x479x479;?õciana pionowa;PC mat;426;479;523;;
KSP_048_10x479x523;?õciana pionowa;PC mat;457;479;729;;
KSP_049_10x479x729;?õciana pionowa;PC mat;603;523;523;;
KSP_050_10x523x523;?õciana pionowa;PC mat;490;523;729;;
KSP_051_10x523x729;?õciana pionowa;PC mat;647;729;729;;
KSP_052_10x729x729;?õciana pionowa;PC mat;856;229;79;;
KSP_001_10x258x108;?õciana pionowa;PC polysk;120;229;154;;
KSP_002_10x258x183;?õciana pionowa;PC polysk;166;229;229;;
KSP_003_10x258x258;?õciana pionowa;PC polysk;210;229;329;;
KSP_004_10x258x358;?õciana pionowa;PC polysk;271;229;374;;
KSP_005_10x258x403;?õciana pionowa;PC polysk;298;229;420;;
KSP_006_10x258x449;?õciana pionowa;PC polysk;326;329;79;;
KSP_007_10x358x108;?õciana pionowa;PC polysk;153;329;154;;
KSP_008_10x358x183;?õciana pionowa;PC polysk;212;329;329;;
KSP_009_10x358x358;?õciana pionowa;PC polysk;348;329;374;;
KSP_010_10x358x403;?õciana pionowa;PC polysk;383;329;420;;
KSP_011_10x358x449;?õciana pionowa;PC polysk;420;374;79;;
KSP_012_10x403x108;?õciana pionowa;PC polysk;167;374;154;;
KSP_013_10x403x183;?õciana pionowa;PC polysk;232;374;329;;
KSP_014_10x403x358;?õciana pionowa;PC polysk;383;374;374;;
KSP_015_10x403x403;?õciana pionowa;PC polysk;422;374;420;;
KSP_016_10x403x449;?õciana pionowa;PC polysk;463;420;79;;
KSP_017_10x449x108;?õciana pionowa;PC polysk;182;420;154;;
KSP_018_10x449x183;?õciana pionowa;PC polysk;254;420;420;;
KSP_019_10x449x449;?õciana pionowa;PC polysk;507;479;79;;
KSP_020_10x508x108;?õciana pionowa;PC polysk;203;479;154;;
KSP_021_10x508x183;?õciana pionowa;PC polysk;282;79;729;;
KSP_022_10x108x758;?õciana pionowa;PC polysk;286;154;729;;
KSP_023_10x183x758;?õciana pionowa;PC polysk;398;229;729;;
KSP_024_10x258x758;?õciana pionowa;PC polysk;511;329;729;;
KSP_025_10x358x758;?õciana pionowa;PC polysk;662;374;729;;
KSP_026_10x403x758;?õciana pionowa;PC polysk;730;420;729;;
KSP_027_10x449x758;?õciana pionowa;PC polysk;800;229;357;;
KSP_028_10x258x386;?õciana pionowa;PC polysk;287;329;523;;
KSP_029_10x358x552;?õciana pionowa;PC polysk;501;229;523;;
KSP_032_10x247x508;?õciana pionowa;PC polysk;348;79;79;;
KSP_033_10x108x108;?õciana pionowa;PC polysk;70;229;479;;
KSP_040_10x258x508;?õciana pionowa;PC polysk;361;79;154;;
KSP_041_10x79x154;?õciana pionowa;PC polysk;73;79;523;;
KSP_042_10x79x523;?õciana pionowa;PC polysk;177;154;154;;
